variable_name,actions,week
border-radius/none,0,2025-11-23
background/default,0,2025-11-23
text/sale,0,2025-11-23
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-11-23
background/positive,0,2025-11-23
background/sale,0,2025-11-23
spacing/s,0,2025-11-23
Object sizes/interactive/lg-objectSize,0,2025-11-23
spacing/2xl,0,2025-11-23
background/primary,0,2025-11-23
background/:selected,0,2025-11-23
spacing/xs,0,2025-11-23
border-width/s,0,2025-11-23
text/interactive,0,2025-11-23
Object sizes/default/sm-objectSize,0,2025-11-23
border-radius/s,0,2025-11-23
Object sizes/interactive/6xl-objectSize,0,2025-11-23
background/tertiary,0,2025-11-23
text/:focus,0,2025-11-23
text/secondary,0,2025-11-23
spacing/3xs,0,2025-11-23
border-width/m,0,2025-11-23
Object sizes/interactive/2xl-objectSize,0,2025-11-23
Object sizes/default/3xl-objectSize,0,2025-11-23
background/negative,0,2025-11-23
opacity/disabled,0,2025-11-23
background/:hover,0,2025-11-23
text/negative,0,2025-11-23
border-width/l,0,2025-11-23
Object sizes/interactive/5xl-objectSize,0,2025-11-23
Object sizes/default/2xl-objectSize,0,2025-11-23
text/positive,0,2025-11-23
Object sizes/interactive/xs-objectSize,0,2025-11-16
border-width/l,0,2025-11-16
border-width/m,0,2025-11-16
background/positive,0,2025-11-16
spacing/xs,0,2025-11-16
spacing/3xs,0,2025-11-16
Object sizes/interactive/2xl-objectSize,0,2025-11-16
text/primary,0,2025-11-16
Object sizes/default/xs-objectSize,0,2025-11-16
background/:selected,0,2025-11-16
text/brand,0,2025-11-16
text/negative,0,2025-11-16
border/:pressed,0,2025-11-16
text/inverse,0,2025-11-16
spacing/m,0,2025-11-16
border/positive,0,2025-11-16
text/:selected,0,2025-11-16
Object sizes/default/xxs-objectSize,0,2025-11-16
background/secondary,0,2025-11-16
background/negative,0,2025-11-16
text/secondary,0,2025-11-16
Object sizes/interactive/sm-objectSize,0,2025-11-16
Object sizes/interactive/xl-objectSize,0,2025-11-16
Object sizes/interactive/5xl-objectSize,0,2025-11-16
spacing/xl,0,2025-11-16
border/interactive,0,2025-11-16
spacing/s,0,2025-11-16
border/primary,0,2025-11-16
Object sizes/default/6xl-objectSize,0,2025-11-16
Object sizes/interactive/3xl-objectSize,0,2025-11-16
background/sale,0,2025-11-16
background/brand,0,2025-11-16
border-radius/m,0,2025-11-16
spacing/2xl,0,2025-11-16
border-radius/none,0,2025-11-16
border/negative,0,2025-11-16
Object sizes/interactive/4xl-objectSize,0,2025-11-16
Object sizes/interactive/lg-objectSize,0,2025-11-16
background/:hover,0,2025-11-16
Object sizes/interactive/md-objectSize,0,2025-11-16
text/[🚧 Deprecated—USE INVERSE] on-sale,0,2025-11-16
opacity/disabled,0,2025-11-16
background/tertiary,0,2025-11-16
background/primary,0,2025-11-16
border/secondary,0,2025-11-16
spacing/2xs,0,2025-11-16
Object sizes/default/lg-objectSize,0,2025-11-16
background/default,0,2025-11-16
Object sizes/default/4xl-objectSize,0,2025-11-16
background/overlay,0,2025-11-16
Object sizes/default/2xl-objectSize,0,2025-11-16
text/[🚧 Deprecated—USE INVERSE] on-positive,0,2025-11-16
Object sizes/default/xl-objectSize,0,2025-11-16
border-width/s,0,2025-11-16
spacing/l,0,2025-11-16
text/interactive,0,2025-11-16
Object sizes/default/5xl-objectSize,0,2025-11-16
border-radius/l,0,2025-11-16
text/positive,0,2025-11-16
Object sizes/interactive/6xl-objectSize,0,2025-11-16
Object sizes/default/3xl-objectSize,0,2025-11-16
text/:pressed,0,2025-11-16
spacing/none,0,2025-11-16
Object sizes/default/sm-objectSize,0,2025-11-16
text/sale,0,2025-11-16
border-radius/rounded,0,2025-11-16
text/:focus,0,2025-11-16
background/:focus,0,2025-11-09
