component_name,component_set_name,file_name,instances
"State=Default, Type=Swatch",🚧 [DEPRECATED] Selector,Unknown File,0
"Type=List Item, Lines=One, Style=Regular, States=Default, Icon=False, Chevron=True",List - Item (Default),Unknown File,0
Breakpoints=375 - 1023,Header,Unknown File,0
"Platform=iOS, Type=Standard link, State=Default, Size=Large",🚧 [DEPRECATED] Link,Unknown File,0
"Platform=Web, Type=Navigation link, State=Default, Size=Large",🚧 [DEPRECATED] Link,Unknown File,0
Color=No,Divider - Dashed (Progress Stepper Only),Unknown File,0
Icon - Hanger,,Unknown File,0
Icon - Gift Card,,Unknown File,0
State=Selected,Reminder button,Unknown File,0
Icon - Credit Card,,Unknown File,0
Platform=App / mWeb,List - Headers,Unknown File,0
"Left action=Back (Arrow), Number of titles=1, Right Action=None",Top bar (Android),Unknown File,0
Icon - Eye Open,,Unknown File,0
Icon - Copy,,Unknown File,0
"Platform=iOS, Type=Icon link, State=Default, Size=Large",🚧 [DEPRECATED] Link,Unknown File,0
"Checked=On, State=Selected",Checkbox,Unknown File,0
"State=Selected, Type=Default",🚧 [DEPRECATED] Selector,Unknown File,0
Breakpoints=1280+,Footer,Unknown File,0
Icon - Pause,,Unknown File,0
"Type=List Item, Lines=Two, Style=Bold, States=Default, Icon=False, Chevron=True",List - Item (Default),Unknown File,0
Icon - Success,,Unknown File,0
Icon - Running,,Unknown File,0
Icon - Chat,,Unknown File,0
"Platform=App, Size=Small (40x40), Outline=No, State=Deselected",Icon button - Wishlist,Unknown File,0
Platform=App,Icon button - More,Unknown File,0
Platform=Web,Icon button - More,Unknown File,0
Icon - Postbox,,Unknown File,0
"On/off=No, State=Enabled",Switch,Unknown File,0
Icon - Sale,,Unknown File,0
"Platform=iOS, Type=Standard link, State=Default, Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
"Viewport=iOS: 375+, Selected tab=Categories",Navigation bar,Unknown File,0
Icon - Cross (X) (Circle - Outlined),,Unknown File,0
Icon - Currency ,,Unknown File,0
"State=Default, Size=Medium",Text buttons,Unknown File,0
Icon - Shapes (Grid),,Unknown File,0
"Type=List Item, Lines=One, Style=Regular, States=Default, Icon=False, Chevron=False",List - Item (Default),Unknown File,0
Icon - Star Sparkle,,Unknown File,0
"State=Default, Label=Yes, Optional=Off, Message=None, Icon=None",Text input,Unknown File,0
Icon - Calendar Star,,Unknown File,0
"Platform=Web, Size=Large (48x48), Outline=Yes, State=Deselected",Icon button - Wishlist,Unknown File,0
Icon - Barcode,,Unknown File,0
"Thickness=2px, Colour=Black",Divider (Horizontal),Unknown File,0
Icon - Chevron Left,,Unknown File,0
"Platform=App, Size=Large (48x48), Outline=No, State=Deselected",Icon button - Wishlist,Unknown File,0
"Expanded=Off, State=Default, Style=Regular",Accordion (Default),Unknown File,0
Icon - Bell Set (Filled),,Unknown File,0
"State=Default, Size=Small",Text buttons,Unknown File,0
"State=Selected, Description=Off, Message=None",🚧 [DEPRECATED] Radio button,Unknown File,0
Icon - Wallet,,Unknown File,0
mWeb / Safari search bar,,Unknown File,0
Icon - Clothing,,Unknown File,0
Breakpoints=320 - 479,Footer,Unknown File,0
"States=Completed, Type=Icon, Orientation=Horizontal, Text=None (Zero)",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
Icon - Partner Brands,,Unknown File,0
"Left action=Close (X), Action=None",Top bar (iOS),Unknown File,0
"Type=Default, State=Default, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Returns,,Unknown File,0
"Type=List Item, Lines=One, Style=Regular, States=Default, Icon=True, Chevron=False",List - Item (Default),Unknown File,0
Breakpoint=Desktop 1024 <-> +1280,Carousel Header (Web),Unknown File,0
"States=Disabled, Type=Number, Orientation=Horizontal, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"State=Default, Badge=No",Dropdown Icon Trigger,Unknown File,0
Pill highlight,,Unknown File,0
Icon - Play Triangle,,Unknown File,0
Icon - Eye Closed,,Unknown File,0
State=Default,.Breadcrumb link,Unknown File,0
"Left action=Back (Arrow), Action=Text action",Top bar (iOS),Unknown File,0
Icon - Burger Menu Left,,Unknown File,0
Size=48px (XL),Spacer,Unknown File,0
"Type=Single/Multi-select, Lines=Single, State=Selected, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
"On/off=Yes, State=Enabled",Switch,Unknown File,0
Icon - Gear,,Unknown File,0
Top bar=On,Action sheet,Unknown File,0
Icon - Location,,Unknown File,0
Icon - Search History,,Unknown File,0
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=False, Chevron=False",List - Item (Default),Unknown File,0
"Type=Single/Multi-select, Lines=Single, State=Deselected, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
Icon - View grid,,Unknown File,0
Type=Long Link,Message,Unknown File,0
"Platform=Web, Size=Large (48x48), Outline=No, State=Selected",Icon button - Wishlist,Unknown File,0
Icon - Face Strong Positive (Outlined),,Unknown File,0
"Platform=Web, Type=Navigation link, State=Hover (web), Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=True, Chevron=False",List - Item (Default),Unknown File,0
Icon - Dresses (Women),,Unknown File,0
Country=Austria (AT),Country flag,Unknown File,0
Icon - Size Fit,,Unknown File,0
Icon - Chat sparkle,,Unknown File,0
"Platform=Web, State=Deselected",Icon button - Reminder,Unknown File,0
"Platform=App, Size=Large (48x48), Outline=Yes, State=Deselected",Icon button - Wishlist,Unknown File,0
State=Default,.Breadcrumb link,Unknown File,0
Icon - Cross (X) (Circle - Filled),,Unknown File,0
Icon - Gift Box,,Unknown File,0
"State=Default, Badge=Yes",Dropdown Icon Trigger,Unknown File,0
"Left action=None, Action=None",Top bar (iOS),Unknown File,0
Icon - Shoes (Sports shoes),,Unknown File,0
Icon - Factory,,Unknown File,0
Icon - Size Body,,Unknown File,0
Icon - Truck (Premium) ,,Unknown File,0
Icon - Download,,Unknown File,0
Icon - Share (Android),,Unknown File,0
"Type=List Item, Lines=Two, Style=Bold, States=Default, Icon=True, Chevron=False",List - Item (Default),Unknown File,0
Icon - Phone,,Unknown File,0
"Platform=App, State=Transient",Icon button - Add to bag,Unknown File,0
Platform=Android,Status bar,Unknown File,0
Type=Read,Linear scale,Unknown File,0
"Platform=iOS, Type=Icon link, State=Default, Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Radio,,Unknown File,0
Icon - Order Received,,Unknown File,0
"Type=Primary, State=Loading, Size=Default",Button,Unknown File,0
"Type=List Item, Lines=Three, Style=Bold, States=Default, Icon=True, Chevron=True",List - Item (Default),Unknown File,0
Icon - Trash,,Unknown File,0
"Platform=Mobile/App, Link color=Black, Overlay=Off",Embedded Navigation,Unknown File,0
Country=Germany (DE),Country flag,Unknown File,0
Icon - T-shirts,,Unknown File,0
Icon - Rising trend,,Unknown File,0
Icon - bottle Rotate,,Unknown File,0
Icon - Headset,,Unknown File,0
Icon - Yoga Mat,,Unknown File,0
Icon - Express Checkout,,Unknown File,0
"Type=List Item, Lines=One, Style=Bold, States=Disabled, Icon=True, Chevron=True",List - Item (Default),Unknown File,0
"Platform=Web, Type=Icon link, State=Default, Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
"State=Active, Platform=App & mWeb",Filter Dropdown Trigger,Unknown File,0
Icon - Face Positive (Outlined),,Unknown File,0
"Platform=Web, Size=Large",Countdown,Unknown File,0
"Platform=App, Size=Large (48x48), Outline=No, State=Selected",Icon button - Wishlist,Unknown File,0
Icon - Thumbs Up (outline),,Unknown File,0
Icon - Flag,,Unknown File,0
Icon - Cloud,,Unknown File,0
Icon - Secure Payment,,Unknown File,0
Icon - Recycle,,Unknown File,0
"States=Selected, Type=Number, Orientation=Horizontal, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
Icon - Bodycare,,Unknown File,0
Icon - Headset Plus,,Unknown File,0
"With icon=True, State=Selected, Size=Small",Follow button,Unknown File,0
Icon - Play (Outline),,Unknown File,0
"Type=Brandmark, Color=Original",Zalando Logo,Unknown File,0
Icon - Qualities,,Unknown File,0
Icon -  Arrow (Up),,Unknown File,0
Icon - Home,,Unknown File,0
Table column,,Unknown File,0
Type=Custom - Background,Dropdown Menu (Desktop),Unknown File,0
Icon - Blouses & Tunics (Women),,Unknown File,0
"States=Disabled, Type=Icon, Orientation=Horizontal, Text=None (Zero)",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"Platform=Web, Size=Small (40x40), Outline=No, State=Deselected",Icon button - Wishlist,Unknown File,0
Icon - Audio Off (Mute),,Unknown File,0
Icon - Bell Set (Outlined),,Unknown File,0
Platform=Web,Icon button - More,Unknown File,0
State=Default,.Breadcrumb link,Unknown File,0
Icon - Fire,,Unknown File,0
Icon - Exclusive Zalando,,Unknown File,0
"Type=Wordmark, Color=Original",Zalando Logo,Unknown File,0
Icon - Bags,,Unknown File,0
Icon - Calendar Blank,,Unknown File,0
Icon - Thumbhole,,Unknown File,0
Color=Original,🚧 [DEPRECATED] Zalando Plus Pill Logo (Wordmark),Unknown File,0
"Type=Tertiary, State=Selected, Size=Default",Button,Unknown File,0
Icon - Trousers,,Unknown File,0
Icon - Confetti,,Unknown File,0
Icon - Jeans,,Unknown File,0
Icon - Backpacks,,Unknown File,0
"States=Selected, Type=Icon, Orientation=Horizontal, Text=None (Zero)",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
"Viewport=Android, Selected tab=Home",Navigation bar,Unknown File,0
"Platform=Web, State=Deselected",Icon button - Reminder,Unknown File,0
Icon - Ruler,,Unknown File,0
"Type=Default, State=Default",Dropdown Trigger (default),Unknown File,0
"Platform=App, Outline=Off, State=Unmute",Icon button - Mute sound,Unknown File,0
Platform=Web,Icon button - More,Unknown File,0
"Left action=Close (X), Action=Text action",Top bar (iOS),Unknown File,0
Progress Stepper Caret,,Unknown File,0
Progress Stepper Message,,Unknown File,0
Icon - Thumbs Down (outline),,Unknown File,0
Icon - Jackets,,Unknown File,0
Platform=App,Icon button - More,Unknown File,0
Color=Yes,Divider - Dashed (Progress Stepper Only),Unknown File,0
Icon - Share (Web),,Unknown File,0
"Type=Secondary, State=Loading, Size=Default",Button,Unknown File,0
Icon - Face Neutral (Outlined),,Unknown File,0
Zalando Homescreen Logo (Filled),,Unknown File,0
Icon - Sweatshirts,,Unknown File,0
Icon - Face Strong Negative (Outlined),,Unknown File,0
"State=Selected, Platform=Web",Filter Dropdown Trigger,Unknown File,0
"Platform=App, Type=Default, Icon (Optional)=On, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
Icon - Clock,,Unknown File,0
"Type=Default, State=Default, Label=Off, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Spinner,,Unknown File,0
"Platform=App, Size=Large",Countdown,Unknown File,0
mWeb / Safari toolbar,,Unknown File,0
Icon - View mondrian,,Unknown File,0
"Type=Primary, State=Disabled, Size=Default",Button,Unknown File,0
"Platform=Web, Size=Small",Countdown,Unknown File,0
"Type=Category, Platform=Desktop, State=Default",Search bar,Unknown File,0
Icon - Cycle,,Unknown File,0
Breakpoints=320 - 374,Header,Unknown File,0
Platform=iOS: iPhone X (and newer),Status bar,Unknown File,0
"State=Selected, Label=Yes, Optional=Off, Message=None, Icon=None",Text input,Unknown File,0
"Viewport=iOS: 375+, Selected tab=Wishlist",Navigation bar,Unknown File,0
Size=64 px (XXL),Spacer,Unknown File,0
"Platform=Web, Type=Standard, Size=Medium, State=Default",Link,Unknown File,0
Icon - Photo,,Unknown File,0
Icon - Expand,,Unknown File,0
"Type=Follow button, Lines=Single, State=Deselected, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
Icon - Audio On,,Unknown File,0
Icon - Shapes (Rhombus),,Unknown File,0
Icon - Face Negative (Outlined),,Unknown File,0
Icon - Weights,,Unknown File,0
"State=Selected, Type=Swatch",🚧 [DEPRECATED] Selector,Unknown File,0
"State=Selected, Platform=App & mWeb",Filter Dropdown Trigger,Unknown File,0
"Platform=Web, Type=Standard link, State=Hover (web), Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
Type=Down,Icon button - Navigation arrow,Unknown File,0
Icon - Select,,Unknown File,0
Icon - Skincare,,Unknown File,0
Icon - Email Approved,,Unknown File,0
"With icon=True, State=Selected, Size=Default",Follow button,Unknown File,0
"States=Completed, Type=Number, Orientation=Horizontal, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
Type=Error,Input message,Unknown File,0
Icon - Truck Plus,,Unknown File,0
"Platform=App, Size=Large (48x48), Outline=Yes, State=Selected",Icon button - Wishlist,Unknown File,0
Icon - Magnifying glass with plus,,Unknown File,0
Background colour=Grey,Table cells,Unknown File,0
Icon - Price info,,Unknown File,0
"State=Default, Optional=No, Message=None",Text area,Unknown File,0
Icon - Truck (Long Distance),,Unknown File,0
"Platform=Web, Type=Navigation link, State=Hover (web), Size=Small",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Beauty Mother&Baby,,Unknown File,0
Platform=iOS: iPhone 6/7/8/SE,Status bar,Unknown File,0
"Platform=App, State=Default",Icon button - Trade-in,Unknown File,0
Icon - Camera,,Unknown File,0
"Type=Default, State=Selected, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
"Orientation=Vertical, State=Initial",Video (Web),Unknown File,0
Icon -  Arrow (Down),,Unknown File,0
Icon - Expand Arrow,,Unknown File,0
"Type=Default, State=Active, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Burger Menu Right,,Unknown File,0
"Platform=App, Size=Small",Countdown,Unknown File,0
Icon - Haircare,,Unknown File,0
Type=Default,🚧 [DEPRECATED] Plus short,Unknown File,0
Icon - Store,,Unknown File,0
"With icon=False, State=Default, Size=Default",Follow button,Unknown File,0
Icon - Heart Sparks,,Unknown File,0
Icon - Calendar (100 days),,Unknown File,0
Icon - Bulb,,Unknown File,0
Icon - Shoes (Trainers),,Unknown File,0
Icon - Underwear (Undershirts),,Unknown File,0
Icon - Packstation,,Unknown File,0
Icon - Open External,,Unknown File,0
Icon - Sportswear,,Unknown File,0
"State=Selected w/ Badge, Type=Default",🚧 [DEPRECATED] Selector,Unknown File,0
Icon - Sports Accessories,,Unknown File,0
Icon - Instagram,,Unknown File,0
Icon - Bell Plus (Outlined),,Unknown File,0
"Left action=Back (Arrow), Number of titles=1, Right Action=Text action",Top bar (Android),Unknown File,0
Icon - Make Up,,Unknown File,0
"State=Default, Label=Yes, Optional=On, Message=None, Icon=Trailing",Text input,Unknown File,0
Type=Vertical,Checkbox group,Unknown File,0
Type=3 Levels,Breadcrumbs,Unknown File,0
"States=Completed, Type=Icon, Orientation=Horizontal, Text=One",🚧 [DEPRECATED] Progress Stepper,Unknown File,0
Icon - Highlight,,Unknown File,0
Platform=App,Icon button - More,Unknown File,0
"Expanded=off, Level=Level 1, State=Default",Accordion (Large),Unknown File,0
Icon - Hourglass Rotating,,Unknown File,0
Icon - Shoes (Other),,Unknown File,0
Icon - Loungewear,,Unknown File,0
Icon - Donate,,Unknown File,0
"State=Deselected, Description=On, Message=None",🚧 [DEPRECATED] Radio button,Unknown File,0
"Left action=Close (X), Action=Icon",Top bar (iOS),Unknown File,0
Type=4 Levels,Breadcrumbs,Unknown File,0
"Type=Single/Multi-select, Lines=Multi, State=Deselected, With icon=Yes",🚧 [DEPRECATED] List - Controls,Unknown File,0
Icon - Diamond,,Unknown File,0
"State=Default, Level=1",List - Item (Large),Unknown File,0
Type=1. Portrait,Image ratio,Unknown File,0
Icon - Outdoor,,Unknown File,0
"State=Default, Label=Yes, Optional=On, Message=None, Icon=None",Text input,Unknown File,0
Icon - Pullovers & Knitwear,,Unknown File,0
"Viewport=iOS: 320-374, Selected tab=Home",Navigation bar,Unknown File,0
State=Deselected,Radio button,Unknown File,0
"Platform=Desktop, Link color=Black, Overlay=Off",Embedded Navigation,Unknown File,0
Icon - Swimwear (Women),,Unknown File,0
"Type=Color swatch, State=Selected, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Icon - Mirror,,Unknown File,0
"Orientation=Horizontal, State=Initial",Video (Web),Unknown File,0
Icon - Dresses (Kids),,Unknown File,0
"Platform=Web, Type=Icon, Size=Large, State=Default",Link,Unknown File,0
"State=Disabled, Description=Off, Message=None",🚧 [DEPRECATED] Radio button,Unknown File,0
Background colour=White,Table cells,Unknown File,0
Icon - Bike,,Unknown File,0
Icon - Handshake,,Unknown File,0
Icon - Ingredients,,Unknown File,0
"Platform=App, Type=Success, Icon (Optional)=On, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
"Platform=App, Type=Success, Icon (Optional)=On, Text link (Optional)=Off",🚧 [DEPRECATED] Notifications,Unknown File,0
"Platform=Web, Type=Standard, Size=Large, State=Default",Link,Unknown File,0
"State=Hover (Web only), Description=Off, Message=None",🚧 [DEPRECATED] Radio button,Unknown File,0
"Viewport=iOS: 375+, Selected tab=User account",Navigation bar,Unknown File,0
Icon - Shoes (Pumps),,Unknown File,0
"Platform=Web, Type=Icon link, State=Hover (web), Size=Medium",🚧 [DEPRECATED] Link,Unknown File,0
Icon - Clapping (Outlined),,Unknown File,0
Alignment=Auto-width,Tabs group,Unknown File,0
Icon - Coats (Men),,Unknown File,0
Icon - Rocket,,Unknown File,0
State=Selected,Reminder button,Unknown File,0
Platform=iOS: iPad OS,Status bar,Unknown File,0
"State=Active, Label=Yes, Optional=Off, Message=None, Icon=None",Text input,Unknown File,0
Meter/Foreground,,Unknown File,0
Type=8. Square,Image ratio,Unknown File,0
"On/off=No, State=Focus",Switch,Unknown File,0
Icon -  Avatar B,,Unknown File,0
Icon - Encrypted,,Unknown File,0
Icon - Sachet,,Unknown File,0
"Platform=Web, Type=Icon, Size=Medium, State=Default",Link,Unknown File,0
"Type=Write (Interactive), State=Default",Rating stars,Unknown File,0
Alignment=Fixed,Tabs group,Unknown File,0
Top bar=Off,Action sheet,Unknown File,0
Icon - Shirts (Men),,Unknown File,0
Icon - 3D,,Unknown File,0
"Type=List Item, Lines=Two, Style=Bold, States=Default, Icon=False, Chevron=False",List - Item (Default),Unknown File,0
"State=Active, Platform=Web",Filter Dropdown Trigger,Unknown File,0
Country=Italy (IT),Country flag,Unknown File,0
"State=Default, Label=Yes, Optional=Off, Message=Informative, Icon=None",Text input,Unknown File,0
"Type=Filter, Platform=Desktop, State=Default",Search bar,Unknown File,0
"Type=Default, State=Default, Label=On, Optional=No, Message=Informative",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
Meter/Background,,Unknown File,0
Icon -  Arrow (Diagonal),,Unknown File,0
"Expanded=On, State=Default, Style=Bold",Accordion (Default),Unknown File,0
"Platform=App, Type=Default, Icon (Optional)=Off, Text link (Optional)=On",🚧 [DEPRECATED] Notifications,Unknown File,0
"State=Default, Label=Yes, Optional=Off, Message=Error, Icon=None",Text input,Unknown File,0
Icon - Shoes (High Heels),,Unknown File,0
Icon - Clothing Set (Kids),,Unknown File,0
Icon - Skirts (Women),,Unknown File,0
Icon - Accessories (Men),,Unknown File,0
Icon - Twitter,,Unknown File,0
Type=5 Levels,Breadcrumbs,Unknown File,0
Icon - Pinterest,,Unknown File,0
"Type=Single/Multi-select, Lines=Single, State=Selected, With icon=No",🚧 [DEPRECATED] List - Controls,Unknown File,0
"State=Default, Label=Yes, Optional=Off, Message=None, Icon=Trailing",Text input,Unknown File,0
"State=Default, Level=2",List - Item (Large),Unknown File,0
"Left action=Close (X), Number of titles=1, Right Action=None",Top bar (Android),Unknown File,0
"Platform=Web, Type=Navigation link, State=Hover (web), Size=Large",🚧 [DEPRECATED] Link,Unknown File,0
Country=Ireland (IE),Country flag,Unknown File,0
Icon - Shorts (Men),,Unknown File,0
"Expanded=off, Level=Level 2, State=Default",Accordion (Large),Unknown File,0
Type=Vertical,Checkbox group,Unknown File,0
Type=3 Levels,Breadcrumbs,Unknown File,0
State=Collapsed,🚧 [DEPRECATED] Expandable container,Unknown File,0
Icon - Footprint,,Unknown File,0
Icon - Cactus,,Unknown File,0
Icon - Truck (Returns),,Unknown File,0
Icon - Clapping (Filled),,Unknown File,0
"Platform=Web, Size=Large (48x48), Outline=Yes, State=Selected",Icon button - Wishlist,Unknown File,0
"Type=Default, State=Selected",Dropdown Trigger (default),Unknown File,0
"Type=Color swatch, State=Default, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),Unknown File,0
"Left action=None, Action=Icon",Top bar (iOS),Unknown File,0
Icon - Sunrise Plus,,Unknown File,0
"State=Selected, Description=On, Message=None",🚧 [DEPRECATED] Radio button,Unknown File,0
Icon - Shoes (Business - Men),,Unknown File,0
Icon - Color Palette,,Unknown File,0
Icon - Underwear (Men),,Unknown File,0
Icon - Radio dashed,,Unknown File,0
"Type=List Item, Lines=Two, Style=Bold, States=Disabled, Icon=True, Chevron=True",List - Item (Default),Unknown File,0
Icon - Jackets & Coats (Kids),,Unknown File,0
"Platform=Web, Type=Standard, Size=Small, State=Default",Link,Unknown File,0
Icon - Fragances,,Unknown File,0
Icon - Shoes (Lace-Ups),,Unknown File,0
Icon - Football,,Unknown File,0
Icon - Newsletter,,Unknown File,0
Alignment=Scrollable,Tabs group,Unknown File,0
