component_name,component_set_name,file_name,instances
"Paragraph=true, Carousel=true, Follow Brand=false, Inverted=true",Showstopper (App),Unknown File,0
Type=Discover,Payment Logo,Unknown File,0
"Type=Pre-owned, Colour=White, Breakpoint=1280+, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Breakpoint=768 - 1023",Product Card | Wardrobe (Web) - Liked,Unknown File,0
"Type=Sale, Platform=App & mWeb",🚧 [DEPRACATED] .Pricing,Unknown File,0
"Platform=Mobile web, Type=Many images",.Image Gallery (deprecated),Unknown File,0
"Device=App/Mobile, Label Color=Yes",Filtered View Card,Unknown File,0
Type=Trade-in - Bought,Product Card | Wardrobe (App),Unknown File,0
"Device=640, Inverted=Yes, Products=No, Description=Yes, Link=Yes",Showstopper (Email),Unknown File,0
"Type=Standard, Device=IOS, Sale=False, From (price)=False",Product Card | Shoppable (App & Ipad),Unknown File,0
Wardrobe | Title (App + mWeb),,Unknown File,0
"State=Selected, Type=Price, Description=On, Plus=Off, Caption=Off, Message=None",Radio button (Checkout),Unknown File,0
"Type=Beauty, Size=375 - 479, Header=Yes",Carousel ,Unknown File,0
"Type=Standard, Breakpoints=1024 - 1279, Sale=True, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=true, Inverted=false",Showstopper (App),Unknown File,0
Type=Bank Transfer,Payment Logo,Unknown File,0
"Device=Big Desktop, Carousel=Yes",Collection Card,Unknown File,0
"Breakpoint=320 - 479, Type=Standard",Product Card | Cart Web,Unknown File,0
Type=Eligible,Order Confirmation,Unknown File,0
"Type=Beauty, Delivery=Plus Premium, Sale=False, Not available=Off",Product Card | Checkout,Unknown File,0
"Type=Beauty, Colour=White, Sale=True, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
"Type=Eligible, Breakpoint=1280+",Product Card | Trade-in (Web),Unknown File,0
"Type=Fashion - Bought on Zalando, Breakpoint=1280+",Product Card | Wardrobe (Web) - Owned,Unknown File,0
"Type=Beauty, Colour=White, Breakpoint=1280+, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Beauty, Sale=False, Flags=False, Delivery Type=None",Product Card Email,Unknown File,0
"Type=Beauty, Colour=Black, Sale=False, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
"Breakpoint=Desktop, Icon=False, Info Button=False, Plus=False, Link=True",Incentive Banner,Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=true, Inverted=false",Showstopper (App),Unknown File,0
"Type=Beauty, Sale=True, From (price)=False",Product Card | Catalogue (App),Unknown File,0
Property 1=Liked items card,Wardrobe | Overview Cards (App),Unknown File,0
Type=Apple Pay,Payment Logo,Unknown File,0
"Type=AFC with item, Breakpoint=1280+",Outfit Cards (Web),Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=true, Inverted=false",Showstopper (App),Unknown File,0
"Type=Standard, Size=375 - 479, Header=No",Carousel ,Unknown File,0
"Type=Beauty, Colour=White, Sale=False, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
"Platform=Desktop, Type=Few images",.Image Gallery (deprecated),Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
"Platform=App & mWeb, Ratings=False, Reviews=False, Insightful=False, Pills=False",Reviews/Read/Entry Point,Unknown File,0
"Type=Pre-owned, Breakpoints=375 - 479, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Breakpoint=Desktop, Insightful=False, Text review=True",Reviews/Read/Written Reviews,Unknown File,0
"Breakpoint=375-478, Type=Standard",Product Card Order Details Webview,Unknown File,0
"Platform= App & mWeb, Type=Default",🚧 [DEPRACATED] .Pricing,Unknown File,0
"Type=Standard, Colour=White, Breakpoint=375 - 479, Sale=True",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Pre-owned, Colour=Default, Sale=False, From (price)=False",Product Card | Reco Carousel (App),Unknown File,0
"Type=Pre-owned, Delivery=None, Sale=False, Not available=Off",Product Card | Checkout,Unknown File,0
"Type=Standard, Breakpoints=1280+, Sale=False, From (price)=True",Product Card | Catalogue (Web),Unknown File,0
"Type=Default, Status=Unchecked",Product card | Returns,Unknown File,0
"Type=Beauty, Colour=White, Sale=False, From (price)=True",Product Card | Reco Carousel (App),Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=false, Inverted=true",Showstopper (App),Unknown File,0
"Type=Beauty, Colour=Black, Breakpoint=375 - 479, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Breakpoints=1280+, Sale=True, From (price)=True",Product Card | Catalogue (Web),Unknown File,0
"Paragraph=false, Carousel=false, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
Proposition=Fashion,PDP - Full page,Unknown File,0
"Type=Beauty, Breakpoints=375 - 479, Sale=True, From (price)=True",Product Card | Catalogue (Web),Unknown File,0
Type=Klarna,Payment Logo - square,Unknown File,0
"Platform=App & mWeb, Sold & shipped=Connected retail",Partner information,Unknown File,0
"Type=Beauty, Colour=Default, Breakpoint=768 - 1023, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Colour=Black, Breakpoint=1280+, Sale=True",Product Card | Reco Carousel (Web),Unknown File,0
Type=SEPA,Payment Logo,Unknown File,0
"Type=Standard, State=Default, Sale=False, Not available=Off, Wishlist State=Default",Product Card | Mini-Cart,Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=true, Inverted=true",Showstopper (App),Unknown File,0
"Paragraph=false, Carousel=true, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
Type=Bancontact,Payment Logo,Unknown File,0
"Breakpoint=769+, Type=Standard",Product Card | Cart Web,Unknown File,0
"Breakpoint=320 - 479, Type=Beauty",Product Card | Cart Web,Unknown File,0
"Sale=True, From (price)=True, Breakpoint=1280+",🚧 [deprecated] Product price,Unknown File,0
"Device=MobileWeb/Apps, Images=No, Illustration=No",CCC Tiles (NCR),Unknown File,0
Type=Standard,Address tile,Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=true, Inverted=false",Showstopper (App),Unknown File,0
"Platform=Desktop, Single colour=False",Colour Picker [Thumbnails],Unknown File,0
"Type=Outfit, Size=375 - 479, Header=No",Carousel ,Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
Property 1=Owned items card,Wardrobe | Overview Cards (App),Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=false, Inverted=true",Showstopper (App),Unknown File,0
"Type=Sale, Platform=Desktop",🚧 [DEPRACATED] .Pricing,Unknown File,0
"Platform=Android, Type=Many images",.Image Gallery (deprecated),Unknown File,0
"Type=Default, Sale=No, Plus Flag=No",Product Card | Horizontal (Outfits),Unknown File,0
"Type=Beauty, Breakpoints=1280+, Sale=True, From (price)=True",Product Card | Catalogue (Web),Unknown File,0
Size=Small,Plus Logo,Unknown File,0
"Type=Beauty, Breakpoint=375 - 479",Product Card | Wardrobe (Web) - Liked,Unknown File,0
"Platform=Apps, Single colour=True",Colour Picker [Thumbnails],Unknown File,0
"Breakpoint=Mobile, Paragraph=False, Link=False, Image=True",Sales Banner (Email),Unknown File,0
Type=Cartes Bancaires,Payment Logo,Unknown File,0
"Type=Horizontal, State=Deselected, Flag=Off, Pay extra=Off, CC logo=1",Radio button (Payments),Unknown File,0
"Paragraph=false, Carousel=true, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=false, Inverted=true",Showstopper (App),Unknown File,0
Category=Bar,Detail - Box,Unknown File,0
"Platform=Web, Description=01, Header=Yes",Detail - List,Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=true, Inverted=true",Showstopper (App),Unknown File,0
"Platform=Desktop, Rating=High",Reviews/Read/Overview,Unknown File,0
"Platform=App & mWeb, Beauty=True, Sale=False, Price drop=False",🚧 [DEPRECATED] Pricing + Item Details,Unknown File,0
"Type=Beauty, Breakpoint=1280+",Product Card | Wardrobe (Web) - Liked,Unknown File,0
"Type=Standard, Breakpoint=1024 - 1279",Product Card | Wardrobe (Web) - Liked,Unknown File,0
"Type=Standard, Colour=White, Breakpoint=1280+, Sale=True",Product Card | Reco Carousel (Web),Unknown File,0
"Breakpoint=1280+, Property 2=Bought by user",Product Card | Wardrobe (Web) - Trade-in,Unknown File,0
"Type=Beauty, Breakpoint=768 - 1023",Product Card | Wardrobe (Web) - Liked,Unknown File,0
"Type=Standard, Breakpoints=480 - 767, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
"Type=Standard, Colour=Black, Breakpoint=768 - 1023, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Breakpoint=480 - 767",Product Card | Wardrobe (Web) - Liked,Unknown File,0
"Type=Beauty, Breakpoint=1024 - 1279",Product Card | Wardrobe (Web) - Liked,Unknown File,0
Opened=true,PDP Accordion Base,Unknown File,0
"Type=Fashion, Sale=False, Flags=True, Delivery Type=None",Product Card Email,Unknown File,0
"Type=Beauty, State=Default, Sale=False, Not available=Off, Wishlist State=Default",Product Card | Mini-Cart,Unknown File,0
"Type=Fashion - Bought on Zalando, Breakpoint=375 - 479",Product Card | Wardrobe (Web) - Owned,Unknown File,0
Inverted=False,Plus Showstopper (Desktop),Unknown File,0
CPC,,Unknown File,0
"Type=Default, Platform=Desktop",🚧 [DEPRACATED] .Pricing,Unknown File,0
Property 1=Trade-in items card,Wardrobe | Overview Cards (App),Unknown File,0
Type=Liked - Pre-owned,Product Card | Wardrobe (App),Unknown File,0
Radio button expanded (Payments),,Unknown File,0
"Device=App, Inverted=Yes, Live=No, Link=No",Want-it Tile,Unknown File,0
"Premise=Catalogue, Sold out=Off",Product Card Vertical,Unknown File,0
"Platform=App, Description=02, Header=No",Detail - List,Unknown File,0
"Device=640, Description=Yes, CTA=Yes",Collection Card (Email),Unknown File,0
Price Style=Default Current Price,,Unknown File,0
"Single Size=False, State=Open",Size Picker - Entry Point,Unknown File,0
"Type=Beauty - Bought on Zalando, Breakpoint=768 - 1023",Product Card | Wardrobe (Web) - Owned,Unknown File,0
Price Style=Sale,,Unknown File,0
"Type=Beauty, Delivery=Long distance, Sale=False, Not available=Off",Product Card | Checkout,Unknown File,0
"Type=Beauty, Breakpoint=480 - 767",Product Card | Wardrobe (Web) - Liked,Unknown File,0
"Type=Branded, Breakpoint=1280+",Outfit Cards (Web),Unknown File,0
"Paragraph=true, Carousel=true, Follow Brand=false, Inverted=false",Showstopper (App),Unknown File,0
"Type=Standard, Size=1280+, Header=No",Carousel ,Unknown File,0
"Type=Beauty, Breakpoints=1024 - 1279, Sale=False, From (price)=False",Product Card | Catalogue (Web),Unknown File,0
Property 1=Owned items card - Empty,Wardrobe | Overview Cards (App),Unknown File,0
"Breakpoint=Mobile, Insightful=False, Text review=True",Reviews/Read/Written Reviews,Unknown File,0
"Breakpoint=769+, Type=Beauty",Product Card | Cart Web,Unknown File,0
Property 1=Liked items card,Wardrobe | Overview Cards (App),Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=true, Inverted=true",Showstopper (App),Unknown File,0
"Platform=Web, Description=01, Header=No",Detail - List,Unknown File,0
"Type=Eligible, Breakpoint=375 - 479",Product Card | Trade-in (Web),Unknown File,0
"Type=Standard, Colour=Default, Breakpoint=480 - 767, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
Wardrobe | Title (Desktop web),,Unknown File,0
"Breakpoint=Mobile, Paragraph=False, Link=False, Image=False",Sales Banner (Email),Unknown File,0
"Platform=App, # Items=01, View All=Yes",Tile,Unknown File,0
"Type=Beauty, Colour=Default, Breakpoint=375 - 479, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Default, Breakpoint=480-767",Outfit Cards (Web),Unknown File,0
"Type=Beauty, Sale=True, From (price)=True",Product Card | Catalogue (App),Unknown File,0
"Type=Standard, Colour=Default, Breakpoint=1024 - 1279, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"State=Deselected, Type=Price, Description=On, Plus=Off, Caption=Off, Message=None",Radio button (Checkout),Unknown File,0
"Type=Standard, Colour=White, Breakpoint=768 - 1023, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Pre-owned, Breakpoint=1280+",Product Card | Wardrobe (Web) - Liked,Unknown File,0
Type=Payconiq by Bancontact,Payment Logo,Unknown File,0
"Type=Standard, Size=768 - 1023, Header=Yes",Carousel ,Unknown File,0
"Platform=Android, Rows=One",(DEPRECATED) Colour Picker [MIN 2 Thumbnails],Unknown File,0
Type=Cash on Delivery,Payment Logo,Unknown File,0
"Type=Beauty, Colour=White, Breakpoint=375 - 479, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Beauty - Bought on Zalando, Breakpoint=1280+",Product Card | Wardrobe (Web) - Owned,Unknown File,0
"Type=Beauty, Colour=White, Breakpoint=480 - 767, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Horizontal, State=Deselected, Flag=Off, Pay extra=On, CC logo=1",Radio button (Payments),Unknown File,0
"Type=Beauty, Colour=White, Breakpoint=768 - 1023, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
Claim Type=Product + %,Sustainability Pills,Unknown File,0
"Type=Fashion - Bought on Zalando, Breakpoint=768 - 1023",Product Card | Wardrobe (Web) - Owned,Unknown File,0
"Type=Horizontal, State=Deselected, Flag=On, Pay extra=Off, CC logo=1",Radio button (Payments),Unknown File,0
"Paragraph=false, Carousel=false, Follow Brand=false, Inverted=true",Showstopper (App),Unknown File,0
"Type=Beauty, Colour=Default, Breakpoint=480 - 767, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Breakpoint=Mobile, Paragraph=True, Link=True, Image=True",Sales Banner (Email),Unknown File,0
"Device=640, Description=No, Link=No, Card Title=Short, Label Color=Yes",Filtered View Card (Email),Unknown File,0
"Sale=False, From (price)=True, Breakpoint=768 - 1023",🚧 [deprecated] Product price,Unknown File,0
"Type=Vertical, State=Deselected, Flag=On, Pay extra=Off, CC logo=5",Radio button (Payments),Unknown File,0
"Type=Beauty, Colour=Default, Breakpoint=1024 - 1279, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Colour=Black, Breakpoint=480 - 767, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"State=Deselected, Type=Optional, Description=On, Plus=Off, Caption=Off, Message=None",Radio button (Checkout),Unknown File,0
"Type=Standard, Colour=White, Breakpoint=480 - 767, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Device=Mobile, Description=Yes, CTA=Yes",Collection Card (Email),Unknown File,0
"Type=Beauty, Colour=Black, Breakpoint=480 - 767, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Beauty, Colour=Black, Breakpoint=768 - 1023, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
"Type=Standard, Delivery=None, Sale=True, Not available=Off",Product Card | Checkout,Unknown File,0
"Paragraph=true, Carousel=false, Follow Brand=true, Inverted=false",Showstopper (App),Unknown File,0
"Device=Mobile, Inverted=No, Products=No, Description=Yes, Link=Yes",Showstopper (Email),Unknown File,0
"Plus member=off, Multiline=on",List-item Checkout | Plus,Unknown File,0
"Type=Standard, State=Default, Sale=True, Not available=Off, Wishlist State=Default",Product Card | Mini-Cart,Unknown File,0
"Platform=Desktop, Beauty=True, Sale=False, Price drop=False",🚧 [DEPRECATED] Pricing + Item Details,Unknown File,0
"Sale=True, From (price)=False, Breakpoint=1024 - 1279",🚧 [deprecated] Product price,Unknown File,0
"Type=Standard, Colour=White, Breakpoint=1024 - 1279, Sale=False",Product Card | Reco Carousel (Web),Unknown File,0
Property 1=Owned items card,Wardrobe | Overview Cards (App),Unknown File,0
"Paragraph=false, Carousel=true, Follow Brand=true, Inverted=false",Showstopper (App),Unknown File,0
