component_name,component_set_name,week,insertions,detachments
"Type=List Item, Lines=One, Style=Bold, States=Hover (Web), Icon=True, Chevron=True",List - Item (Default),2025-12-28,2,0
Icon - Star Sparkle,,2025-12-28,4,1
Icon - Email,,2025-12-28,4,0
"Type=Tertiary, State=Default, Size=Default",Button,2025-12-28,50,0
"State=Hover, Label=Yes, Optional=Off, Message=None, Icon=None",Text input,2025-12-28,2,0
"Platform=Web, Type=Standard link, State=Default, Size=Medium",🚧 [DEPRECATED] Link,2025-12-28,54,0
"Type=Primary, State=Pressed, Size=Default",Button,2025-12-28,4,0
Icon - Globe,,2025-12-28,14,0
"Left action=Back (Arrow), Number of titles=1, Right Action=2 icons",Top bar (Android),2025-12-28,4,0
Size=8px (XXS),Spacer,2025-12-28,21,0
"Type=Default, State=Default, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,1,0
"State=Active, Platform=Web",Filter Dropdown Trigger,2025-12-28,4,0
"Active=Active, Size=Large",Plus Points Logo,2025-12-28,16,0
Pill highlight,,2025-12-28,28,0
Type=Vertical,Checkbox group,2025-12-28,1,0
Icon -  Arrow (Right),,2025-12-28,21,1
"Type=List Item, Lines=One, Style=Regular, States=Default, Icon=True, Chevron=False",List - Item (Default),2025-12-28,24,0
Icon - Shirts (Men),,2025-12-28,3,0
State=Hover,Reminder button,2025-12-28,2,0
"Type=Category, Platform=mWeb, State=Focused filled",Search bar,2025-12-28,1,0
Icon - Download,,2025-12-28,1,0
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=True, Chevron=False",List - Item (Default),2025-12-28,16,0
"State=Default, Platform=Web",Filter Dropdown Trigger,2025-12-28,8,0
Breakpoints=375 - 1023,Header,2025-12-28,16,1
"Type=List Item, Lines=Two, Style=Bold, States=Default, Icon=True, Chevron=True",List - Item (Default),2025-12-28,33,3
"Thickness=2px, Colour=Black",Divider (Horizontal),2025-12-28,10,0
Platform=iOS: iPhone X (and newer),Status bar,2025-12-28,7,0
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=False, Chevron=True",List - Item (Default),2025-12-28,9,0
"Platform=App, Outline=Off, State=Unmute",Icon button - Mute sound,2025-12-28,5,0
"Expanded=false, State=Hover",Expandable container [Based on current component],2025-12-28,1,0
"Type=Read (Static), State=Default",Rating stars,2025-12-28,97,0
Icon - Chat sparkle,,2025-12-28,27,0
"With icon=True, State=Default, Size=Small",Follow button,2025-12-28,43,0
Type=Right,Icon button - Navigation arrow,2025-12-28,58,0
"State=Default, Size=Small",Text buttons,2025-12-28,10,0
Platform=App,Icon button - More,2025-12-28,18,0
"State=Disabled, Type=Default",🚧 [DEPRECATED] Selector,2025-12-28,2,0
"Platform=iOS, Type=Standard link, State=Default, Size=Large",🚧 [DEPRECATED] Link,2025-12-28,9,0
Size=Small,Plus Wordmark,2025-12-28,7,1
"Thickness=1px, Colour=Grey",Divider (Horizontal),2025-12-28,1287,54
Table column,,2025-12-28,59,0
"State=Selected, Description=Off, Message=None",🚧 [DEPRECATED] Radio button,2025-12-28,1,0
Type=5 Levels,Breadcrumbs,2025-12-28,1,0
"Platform=App, Outline=Off",Icon button - Remove Close,2025-12-28,32,0
"Platform=App, State=Deselected",Icon button - Reminder,2025-12-28,279,0
"Platform=Web, Type=Navigation link, State=Hover (web), Size=Large",🚧 [DEPRECATED] Link,2025-12-28,1,0
State=Selected,Reminder button,2025-12-28,1,0
Icon - Face Negative (Outlined),,2025-12-28,1,0
Icon - Bell (Outlined),,2025-12-28,1,0
"Type=Filter, Platform=Android, State=Focused filled",Search bar,2025-12-28,2,0
Icon - Help,,2025-12-28,11,0
Icon - Box Trade-in,,2025-12-28,28,0
"Platform=App, State=Default",Icon button - Trade-in,2025-12-28,1,0
"Type=Filter, Platform=Android, State=Default",Search bar,2025-12-28,3,0
Icon - Share (Web),,2025-12-28,7,0
"Type=List Item, Lines=Two, Style=Bold, States=Default, Icon=False, Chevron=False",List - Item (Default),2025-12-28,15,0
Icon - Size Body,,2025-12-28,35,0
"Type=Write (Interactive), State=Default",Rating stars,2025-12-28,1,0
Icon - Sweatshirts,,2025-12-28,13,0
Size=Large,Plus Wordmark,2025-12-28,1,0
"Type=Primary, State=Disabled, Size=Default",Button,2025-12-28,3,0
State=Selected,Reminder button,2025-12-28,19,0
Breakpoint=Desktop 1024 <-> +1280,Carousel Header (Web),2025-12-28,33,0
"Type=Color swatch, State=Default, Label=On, Optional=No, Message=Informative",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,2,0
Type=4. Third Party,Image ratio,2025-12-28,16,0
Icon - Thumbs Up (outline),,2025-12-28,2,0
"Type=Category, Platform=Android, State=Default",Search bar,2025-12-28,3,0
"Platform=Web, Type=Standard link, State=Hover (web), Size=Medium",🚧 [DEPRECATED] Link,2025-12-28,26,0
"State=Hover (Web only), Platform=Web",Filter Dropdown Trigger,2025-12-28,2,0
"Checked=On, State=Selected",Checkbox,2025-12-28,2,0
"Expanded=Off, State=Default, Style=Regular",Accordion (Default),2025-12-28,11,1
State=Selected,Reminder button,2025-12-28,2,0
Icon - Placeholder,,2025-12-28,45,8
"Type=Color swatch, State=Default, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,2,0
"Active=Active, Size=Small",Plus Points Logo,2025-12-28,1,0
Layer=Foreground,Page control,2025-12-28,27,0
Size=24px (M),Spacer,2025-12-28,4,0
"Type=Default, State=Hover, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,2,0
Icon - Magnifying glass with plus,,2025-12-28,1,0
"State=Default, Type=Swatch",🚧 [DEPRECATED] Selector,2025-12-28,6,0
"On/off=Yes, State=Focus",Switch,2025-12-28,1,0
"Type=Single/Multi-select, Lines=Single, State=Deselected, With icon=Yes",🚧 [DEPRECATED] List - Controls,2025-12-28,50,0
Icon - Chevron Right,,2025-12-28,158,16
"State=Deselected, Description=Off, Message=None",🚧 [DEPRECATED] Radio button,2025-12-28,1,0
"Type=Tertiary, State=Default, Size=Small",Button,2025-12-28,7,1
"Type=Brandmark, Color=Original",Zalando Logo,2025-12-28,12,0
Icon - Cross (X) (Circle - Filled),,2025-12-28,9,0
"Expanded=Off, State=Pressed, Style=Regular",Accordion (Default),2025-12-28,4,0
"Platform=Web, Type=Navigation link, State=Default, Size=Small",🚧 [DEPRECATED] Link,2025-12-28,84,0
"Type=Category, Platform=mWeb, State=Default",Search bar,2025-12-28,2,0
"Type=Category, Platform=Desktop, State=Focused filled",Search bar,2025-12-28,1,0
"Active=+100, Size=Small",Plus Points Logo,2025-12-28,2,0
Type=Custom - Background,Dropdown Menu (Desktop),2025-12-28,11,0
Color=Original,🚧 [DEPRECATED] Zalando Plus Pill Logo (Wordmark),2025-12-28,1,0
Breakpoints=1280+,Footer,2025-12-28,48,0
Icon - Face Strong Positive (Outlined),,2025-12-28,19,0
"Type=Category, Platform=Android, State=Focused filled",Search bar,2025-12-28,2,0
"Type=Default, State=Default",Dropdown Trigger (default),2025-12-28,8,0
State=Deselected,Radio button,2025-12-28,9,0
Type=2 Levels,Category tree,2025-12-28,1,0
"On/off=No, State=Focus",Switch,2025-12-28,15,0
"State=Active, Badge=No",Dropdown Icon Trigger,2025-12-28,9,0
"Viewport=iOS: 375+, Selected tab=Home",Navigation bar,2025-12-28,96,0
Platform=App,Icon button - More,2025-12-28,10,0
Icon - Truck (Premium) ,,2025-12-28,22,0
Size=36px (L),Spacer,2025-12-28,4,0
"Type=Default, State=Selected, Label=On, Optional=No, Message=None",🚧 [DEPRECATED] Dropdown Trigger (Default),2025-12-28,2,0
"Type=Logo, Color=Original",Zalando Logo,2025-12-28,45,0
Type=3 Levels,Breadcrumbs,2025-12-28,1,0
Icon -  Avatar A,,2025-12-28,42,0
"Platform=Web, Type=Icon link, State=Default, Size=Small",🚧 [DEPRECATED] Link,2025-12-28,2,0
"Platform=App, State=Deselected",Icon button - Reminder,2025-12-28,1,0
"Expanded=true, State=Default",Expandable container [Based on current component],2025-12-28,0,1
Icon - Star (Outlined),,2025-12-28,14,0
Icon - Flag,,2025-12-28,12,0
"Type=List Item, Lines=One, Style=Bold, States=Default, Icon=True, Chevron=True",List - Item (Default),2025-12-28,92,7
Icon - Box Transit,,2025-12-28,30,0
"Type=List Item, Lines=Two, Style=Bold, States=Default, Icon=False, Chevron=True",List - Item (Default),2025-12-28,15,3
"Type=List Item, Lines=Two, Style=Bold, States=Disabled, Icon=True, Chevron=True",List - Item (Default),2025-12-28,9,0
Size=4px (XXXS),Spacer,2025-12-28,15,0
"State=Active, Optional=No, Message=None",Text area,2025-12-28,1,0
"Type=Category, Platform=iOS, State=Focused filled",Search bar,2025-12-28,2,0
State=Default,.Breadcrumb link,2025-12-28,14,0
"State=Default, Size=Large",Text buttons,2025-12-28,75,2
"Expanded=false, State=Default",Expandable container [Based on current component],2025-12-28,4,1
"Left action=Close (X), Action=None",Top bar (iOS),2025-12-28,7,0
"State=Default, Platform=App & mWeb",Filter Dropdown Trigger,2025-12-28,36,0
Icon - Magnifying glass,,2025-12-28,29,0
Icon - Chevron Left,,2025-12-28,23,0
"Active=Pending, Size=Small",Plus Points Logo,2025-12-28,1,0
"Checked=On, State=Focus (web)",Checkbox,2025-12-28,1,0
Layer=Background,Page control,2025-12-28,17,0
Icon - Burger Menu Left,,2025-12-28,1,0
Icon - Play,,2025-12-28,59,0
Icon - Box,,2025-12-28,26,0
"State=Default, Type=Default",🚧 [DEPRECATED] Selector,2025-12-28,652,0
"Platform=Web, Outline=Off",Icon button - Remove Close,2025-12-28,43,0
Icon - Pullovers & Knitwear,,2025-12-28,3,0
Divider (Vertical),,2025-12-28,111,0
Icon - Cross (X),,2025-12-28,66,0
Type=Subtle,🚧 [DEPRECATED] Plus short,2025-12-28,1,0
Icon - Truck,,2025-12-28,7,0
"Type=Default, State=Hover",Dropdown Trigger (default),2025-12-28,1,0
Icon - Postbox,,2025-12-28,18,0
"Panel=Default, State=Collapsed, Optional=Off, Subtext=Off, Static content=Off",Panel,2025-12-28,1,0
Icon - View grid,,2025-12-28,3,0
Icon -  Arrow (Left),,2025-12-28,79,2
Type=Sale,Flag,2025-12-28,482,0
"Type=Secondary, State=Hover, Size=Default",Button,2025-12-28,5,0
Icon - Ruler,,2025-12-28,13,0
"Viewport=Android, Selected tab=Wishlist",Navigation bar,2025-12-28,2,0
